ano,regiao_administrativa,mortalidade_infancia,prop_baixo_peso_nascer,mortalidade_materna,taxa_internacoes_infantis_crise_respiratoria_aguda,prop_acesso_agua_canalizada,prop_acesso_esgotamento_sanitario,prop_acesso_banheiro,prop_populacao_vivendo_favelas_nao_urbanizadas,prop_acesso_energia_eletrica,prop_adensamento_habitacional_excessivo,taxa_homicidios,taxa_roubos_rua,prop_alfabetizacao,qualidade_ensino_fundamental_anos_iniciais,qualidade_ensino_fundamental_anos_finais,prop_abandono_escolar_ensino_medio,prop_acesso_telefone_celular_fixo,prop_acesso_internet,taxa_mortalidade_doencas_cronicas,taxa_incidencia_dengue,taxa_mortalidade_tuberculose_hiv,prop_coleta_seletiva_lixo,degradacao_areas_verdes,prop_mobilidade_urbana,taxa_homicidios_acao_policial,tempo_medio_deslocamento,taxa_participacao_politica,prop_gravidez_adolescencia,trabalho_infantil,indice_acesso_cultura,taxa_violencia_contra_mulher,taxa_homicidios_jovens_negros,prop_vulnerabilidade_familiar,prop_pessoas_ensino_superior,prop_negros_indigenas_ensino_superior,prop_frequencia_ensino_superior,area_planejamento
2016,Jacarepaguá,2.4,9.13,60.06,9.54,97.92,81.67,96.54,29.39,93.21,6.22,14.32,2.61,52.16,5.46,4.79,15.34,96.55,53.97,162.4,184.46,13.56,1.52,-0.01,0.0,1.12,32.28,0.21,14.56,2.42,13.86,349.81,7.12,1.96,19.76,11.72,29.1,Jacarepagua
2016,Bangu,2.89,8.94,61.16,6.41,99.31,92.28,99.19,19.8,92.77,6.77,22.95,6.84,57.52,5.36,4.7,11.86,95.07,36.65,213.26,821.49,24.13,0.66,-0.01,33.37,7.89,21.39,0.2,18.02,12.75,10.81,347.86,6.5,2.25,8.09,5.35,16.33,Bangu
2016,Campo Grande,2.79,9.6,57.02,8.62,98.53,82.21,99.47,8.86,91.94,7.17,13.21,3.5,52.92,5.61,4.88,11.26,95.59,41.79,211.27,129.38,20.03,2.04,-0.02,23.77,0.18,38.89,0.18,16.63,5.63,16.73,437.78,5.32,2.04,10.46,7.96,17.77,Campo Grande
2016,Santa Cruz,3.98,8.99,62.83,8.66,98.11,76.14,99.25,12.56,88.13,9.7,29.18,2.19,58.49,5.36,4.61,7.79,93.0,30.42,206.42,128.31,23.3,0.18,-0.03,17.71,4.61,24.13,0.19,21.1,23.09,5.84,385.17,16.9,3.13,4.64,3.41,7.98,Santa Cruz
2016,Ilha Do Governador,2.38,8.04,0.0,7.76,99.06,95.11,98.24,24.99,97.81,4.02,11.73,2.46,51.68,5.42,4.89,9.54,96.94,56.14,158.22,126.29,15.96,2.37,-0.1,0.0,4.23,28.18,0.22,13.24,17.37,24.29,263.85,5.63,1.54,27.84,13.03,36.57,Ilha do Governador
2016,Anchieta,2.82,9.09,42.69,7.81,97.63,93.84,99.63,15.84,95.78,7.96,26.25,12.68,51.68,5.52,5.03,12.97,94.87,42.01,256.67,154.0,24.41,0.0,-0.0,39.0,10.02,20.81,0.2,16.08,5.0,40.42,396.89,7.51,2.52,8.0,6.47,19.15,Pavuna
2016,Santa Teresa,2.09,8.49,209.21,12.59,99.56,94.43,95.89,31.37,97.01,5.56,27.75,10.13,41.82,5.8,4.75,10.9,97.61,54.76,137.11,399.1,17.14,5.84,-0.0,31.78,10.1,36.25,0.26,18.9,48.99,66.56,326.89,0.2,2.34,22.9,12.53,24.25,Centro
2016,Barra Da Tijuca,1.92,8.88,30.52,6.27,93.27,75.2,98.37,16.3,95.72,3.83,10.11,4.64,47.8,5.56,5.0,13.28,98.4,73.43,107.36,143.43,7.44,6.7,-0.02,0.0,1.49,47.11,0.19,6.91,5.6,42.85,330.13,4.33,1.09,48.5,19.47,48.1,Barra da Tijuca
2016,Pavuna,3.52,9.18,77.04,15.84,99.15,90.86,98.87,36.21,89.0,9.21,42.51,9.86,58.14,4.92,4.76,18.8,93.46,37.16,188.45,273.3,23.91,0.0,-0.13,54.01,22.5,28.41,0.2,23.42,11.68,1.78,242.83,29.06,3.25,5.76,4.5,13.74,Pavuna
2016,Guaratiba,3.48,8.68,14.15,14.43,88.8,53.43,99.4,24.59,84.25,9.16,21.07,2.23,54.45,5.36,5.03,10.98,93.75,30.07,184.78,330.77,21.29,0.01,-0.01,0.0,0.0,28.62,0.18,20.3,18.81,30.54,653.18,10.65,3.17,5.45,3.2,6.27,Guaratiba
